61 2 96 3
1 1 
2 1 
1 2 
2 2 
1.5 1.5 
1.5 1 
1 1.5 
1.75 1 
1 1.25 
2 1.5 
1.5 2 
1.25 1 
1 1.75 
1.75 1.25 
1.25 1.75 
1.75 1.75 
1.5 1.25 
1.25 1.5 
1.25 1.25 
1.875 1 
1 1.125 
2 1.25 
1.75 2 
1.375 1 
1 1.625 
1.625 1 
1 1.375 
2 1.75 
1.25 2 
1.125 1 
1 1.875 
1.125 1.125 
1.875 1.125 
1.625 1.375 
1.75 1.125 
1.875 1.375 
1.125 1.875 
1.375 1.625 
1.375 1.875 
1.125 1.75 
1.875 1.875 
1.625 1.625 
1.875 1.625 
1.625 1.875 
1.75 1.5 
1.5 1.75 
1.5 1.375 
1.5 1.125 
1.625 1.125 
1.625 1.25 
1.375 1.5 
1.125 1.5 
1.125 1.625 
1.25 1.625 
1.375 1.375 
1.375 1.125 
1.125 1.375 
1.125 1.25 
1.25 1.125 
1.375 1.25 
1.25 1.375 
5 38 51 
4 23 41 
2 22 33 
7 57 52 
2 33 20 
6 56 24 
15 37 40 
11 29 39 
10 28 43 
19 56 60 
14 34 50 
19 57 58 
18 53 52 
16 46 42 
14 45 34 
18 55 51 
8 49 26 
12 32 30 
13 53 40 
15 46 39 
16 45 43 
17 55 60 
17 49 50 
9 32 58 
15 54 38 
11 44 23 
10 36 22 
19 61 57 
14 35 33 
19 59 56 
3 31 37 
3 37 29 
4 41 28 
6 48 56 
5 47 34 
7 27 57 
13 25 53 
15 38 46 
16 42 45 
17 47 55 
17 48 49 
9 21 32 
18 54 53 
16 44 46 
14 36 45 
18 61 55 
8 35 49 
12 59 32 
18 51 54 
16 41 44 
14 33 36 
18 52 61 
8 20 35 
12 24 59 
13 40 31 
15 39 37 
16 43 41 
17 60 48 
17 50 47 
9 58 27 
7 52 25 
5 42 38 
5 34 42 
5 51 47 
6 26 48 
1 30 21 
15 40 54 
11 39 44 
10 43 36 
19 60 61 
14 50 35 
19 58 59 
54 51 38 
44 41 23 
36 33 22 
61 52 57 
35 20 33 
59 24 56 
31 40 37 
37 39 29 
41 43 28 
48 60 56 
47 50 34 
27 58 57 
25 52 53 
38 42 46 
42 34 45 
47 51 55 
48 26 49 
21 30 32 
54 40 53 
44 39 46 
36 43 45 
61 60 55 
35 50 49 
59 58 32 
2.20871
1
1
1
-0.379551
2.96808
0.0358078
3.08582
0.620476
1
1
2.51844
2.0893
-0.296497
2.44827
2.97872
0.152208
-0.0995384
0.430963
2.6193
1.77176
1
1
2.74736
1.12749
3.11863
-0.204726
1
1
2.32542
2.04212
1.7796
1.73424
-1.29192
2.0339
-0.89691
2.09084
1.41008
2.50542
2.20269
2.739
1.1815
1.31258
2.90723
-0.651311
2.88984
-1.03949
2.07932
2.12075
-0.0352417
-0.248756
0.0170857
1.2066
1.2983
-0.765243
1.97982
-0.299694
0.537155
1.86758
0.30357
-0.506514
